Date,High,Low,Close,Volume
2025-02-07,234.0,227.26,227.63,39707224.0
2025-02-10,230.585,227.2,227.65,33115645.0
2025-02-11,235.23,228.13,232.62,53718362.0
2025-02-12,236.96,230.68,236.87,45243292.0
2025-02-13,242.3399,235.57,241.53,53614054.0
2025-02-14,245.55,240.99,244.6,40896227.0
2025-02-18,245.18,241.84,244.47,48822491.0
2025-02-19,246.01,243.1604,244.87,32204215.0
2025-02-20,246.78,244.29,245.83,32316907.0
