Date,mean_sentiment,p_sum,news_count
6/25/2024,0.181738706,6.179116,34
6/26/2024,0.221279233,6.638377,30
6/27/2024,0.230167696,5.293857,23
6/28/2024,0.205768333,4.321135,21
7/1/2024,0.18149065,3.629813,20
7/2/2024,0.217468097,6.741511,31
7/3/2024,0.2808335,6.740004,24
7/4/2024,0.2389094,2.389094,10
7/5/2024,0.150833,0.603332,4
7/8/2024,0.19385012,4.846253,25
7/9/2024,0.220102522,5.062358,23
7/10/2024,0.213823,6.842336,32
7/11/2024,0.18881903,6.231028,33
7/12/2024,0.17579825,3.515965,20
7/15/2024,0.23395972,5.848993,25
7/16/2024,0.219797179,6.154321,28
7/17/2024,0.198018167,5.940545,30
7/18/2024,0.215837958,5.180111,24
7/19/2024,0.238046045,5.237013,22
7/22/2024,0.2112394,4.224788,20
7/23/2024,0.208828929,5.84721,28
7/24/2024,0.186882593,5.04583,27
7/25/2024,0.1773503,5.320509,30
7/26/2024,0.183098968,5.676068,31
7/29/2024,0.160651073,6.586694,41
7/30/2024,0.174983344,5.599467,32
7/31/2024,0.147506923,3.83518,26
8/1/2024,0.21085625,5.903975,28
8/2/2024,0.173259606,5.717567,33
8/5/2024,0.07011728,1.752932,25
8/6/2024,0.073661692,1.915204,26
8/7/2024,0.136385,0.136385,1
8/8/2024,0.153324308,3.986432,26
8/9/2024,0.2003588,4.007176,20
8/12/2024,0.172439706,2.931475,17
8/13/2024,0.231449643,3.240295,14
8/14/2024,0.154101538,4.00664,26
8/15/2024,0.216057059,3.67297,17
8/16/2024,0.199732063,3.195713,16
8/19/2024,0.219119889,3.944158,18
8/20/2024,0.209829786,2.937617,14
8/21/2024,0.200025583,2.400307,12
8/22/2024,0.200673471,3.411449,17
8/23/2024,0.182216846,2.368819,13
8/26/2024,0.219885952,4.617605,21
8/27/2024,0.207062692,5.38363,26
8/28/2024,0.223030323,6.91394,31
8/29/2024,0.230984308,3.002796,13
8/30/2024,0.232715167,4.188873,18
9/2/2024,0.225341625,3.605466,16
9/3/2024,0.210646462,2.738404,13
9/4/2024,0.186147933,2.792219,15
9/5/2024,0.226555563,3.624889,16
9/6/2024,0.207335917,2.488031,12
9/9/2024,0.217214333,7.168073,33
9/10/2024,0.205951243,7.620196,37
9/11/2024,0.183996818,4.04793,22
9/12/2024,0.213718522,4.915526,23
9/13/2024,0.217519167,3.915345,18
9/16/2024,0.195702652,4.501161,23
9/17/2024,0.1914059,3.828118,20
9/18/2024,0.225625043,5.189376,23
9/19/2024,0.1915595,3.064952,16
9/20/2024,0.192514071,2.695197,14
9/23/2024,0.163597056,2.944747,18
9/24/2024,0.223499615,2.905495,13
9/25/2024,0.141368765,2.403269,17
9/26/2024,0.257875929,3.610263,14
9/27/2024,0.220683538,2.868886,13
9/30/2024,0.192184937,3.074959,16
10/1/2024,0.192059478,4.417368,23
10/2/2024,0.1929745,3.473541,18
10/3/2024,0.191389929,2.679459,14
10/4/2024,0.177957769,2.313451,13
10/7/2024,0.1776928,1.776928,10
10/8/2024,0.199401885,5.184449,26
10/9/2024,0.202375059,3.440376,17
10/10/2024,0.1484524,1.484524,10
10/11/2024,0.2160049,4.320098,20
10/14/2024,0.235083368,4.466584,19
10/15/2024,0.210449444,1.894045,9
10/16/2024,0.202927,4.464394,22
10/17/2024,0.231349227,5.089683,22
10/18/2024,0.199070714,4.180485,21
10/21/2024,0.223959167,5.37502,24
10/22/2024,0.20859355,4.171871,20
10/23/2024,0.182899593,4.938289,27
10/24/2024,0.185621167,3.341181,18
10/25/2024,0.2472175,5.438785,22
10/28/2024,0.216399579,8.223184,38
10/29/2024,0.234822227,5.166089,22
10/30/2024,0.202458292,4.858999,24
10/31/2024,0.199833733,2.997506,15
11/1/2024,0.194196444,5.243304,27
11/4/2024,0.2011326,5.028315,25
11/5/2024,0.2240725,4.033305,18
11/6/2024,0.209609375,5.030625,24
11/7/2024,0.24196785,4.839357,20
11/8/2024,0.201548583,2.418583,12
11/11/2024,0.198248867,2.973733,15
11/12/2024,0.225336105,4.281386,19
11/13/2024,0.222517929,3.115251,14
11/14/2024,0.218815316,4.157491,19
11/15/2024,0.213132538,2.770723,13
11/18/2024,0.241705077,3.142166,13
11/19/2024,0.2189805,4.817571,22
11/20/2024,0.164970769,2.14462,13
11/21/2024,0.195613667,2.347364,12
11/22/2024,0.153672429,3.227121,21
11/25/2024,0.234978923,3.054726,13
11/26/2024,0.167470235,2.846994,17
11/27/2024,0.187793278,3.380279,18
11/28/2024,0.221763267,3.326449,15
11/29/2024,0.211365667,3.170485,15
12/2/2024,0.234339867,3.515098,15
12/3/2024,0.231762571,4.867014,21
12/4/2024,0.216680063,3.466881,16
12/5/2024,0.187714333,2.252572,12
12/6/2024,0.246432571,3.450056,14
12/9/2024,0.166193429,2.326708,14
12/10/2024,0.239103462,3.108345,13
12/11/2024,0.268451864,5.905941,22
12/12/2024,0.226224957,5.203174,23
12/13/2024,0.252889,4.046224,16
12/16/2024,0.240489737,4.569305,19
12/17/2024,0.174856059,2.972553,17
12/18/2024,0.231184111,4.161314,18
12/19/2024,0.214378412,3.644433,17
12/20/2024,0.1975645,1.975645,10
12/23/2024,0.216967619,4.55632,21
12/24/2024,0.242804476,5.098894,21
12/25/2024,0.285124333,1.710746,6
12/26/2024,0.235213182,2.587345,11
12/27/2024,0.192405158,3.655698,19
12/30/2024,0.209331214,2.930637,14
12/31/2024,0.212344313,3.397509,16
1/1/2025,0.160819,0.964914,6
1/2/2025,0.217670727,2.394378,11
1/3/2025,0.221676083,5.320226,24
1/6/2025,0.241411625,3.862586,16
1/7/2025,0.177127217,4.073926,23
1/8/2025,0.197229875,1.577839,8
1/9/2025,0.2209235,3.976623,18
1/10/2025,0.171945357,2.407235,14
1/13/2025,0.238021077,3.094274,13
1/14/2025,0.200049211,3.800935,19
1/15/2025,0.218059714,3.052836,14
1/16/2025,0.237566533,3.563498,15
1/17/2025,0.130304391,2.997001,23
1/20/2025,0.220675889,1.986083,9
1/21/2025,0.169272727,3.724,22
1/22/2025,0.182421222,3.283582,18
1/23/2025,0.232759833,4.189677,18
1/24/2025,0.239426333,2.873116,12
1/27/2025,0.22020184,5.505046,25
1/28/2025,0.183708391,4.225293,23
1/29/2025,0.172339607,4.825509,28
1/30/2025,0.180052389,3.240943,18
1/31/2025,0.213854719,6.843351,32
2/3/2025,0.131717,2.897774,22
2/4/2025,0.187423174,4.310733,23
2/5/2025,0.22239225,2.668707,12
2/6/2025,0.245101739,5.63734,23
2/7/2025,0.251545588,4.276275,17
2/10/2025,0.246182929,3.446561,14
